"대상연도","기관구분","기관명","기준배출량(tonCO₂-eq)","온실가스 순 배출량(tonCO₂-eq)","온실가스 총 감축량(tonCO₂-eq)","온실가스 감축(%)","권장목표 달성유무(13.2%)","비고"
"2024","중앙행정기관","검찰청","","","","","N","법무부 일괄보고"
"2024","중앙행정기관","기획재정부","91","11","80","87.912","Y",""
"2024","중앙행정기관","원자력안전위원회","35","16","19","54.286","Y",""
"2024","중앙행정기관","국무조정실","134","45","89","66.418","Y",""
"2024","중앙행정기관","공정거래위원회","12","7","5","41.667","Y",""
"2024","중앙행정기관","국민권익위원회","185","139","46","24.865","Y",""
"2024","중앙행정기관","금융위원회","23","23","0","0","N",""
"2024","중앙행정기관","법제처","29","9","20","68.966","Y",""
"2024","중앙행정기관","국가보훈부","5491","5094","397","7.23","N",""
"2024","중앙행정기관","해양수산부","25186","18606","6580","26.126","Y",""
"2024","중앙행정기관","국세청","30006","30353","-347","-1.156","N",""
"2024","중앙행정기관","관세청","11430","10495","935","8.18","N",""
"2024","중앙행정기관","조달청","3251","1984","1267","38.973","Y",""
"2024","중앙행정기관","통계청","2778","2181","597","21.49","Y",""
"2024","중앙행정기관","통일부","1782","1663","119","6.678","N",""
"2024","중앙행정기관","외교부","1157","978","179","15.471","Y",""
"2024","중앙행정기관","법무부","40084","39168","916","2.285","N",""
"2024","중앙행정기관","국방부","784","739","45","5.74","N",""
"2024","중앙행정기관","병무청","8272","5959","2313","27.962","Y",""
"2024","중앙행정기관","경찰청","205252","184942","20310","9.895","N",""
"2024","중앙행정기관","교육부","3235","2405","830","25.657","Y",""
"2024","중앙행정기관","보건복지부","53992","55007","-1015","-1.88","N",""
"2024","중앙행정기관","기상청","43297","37138","6159","14.225","Y",""
"2024","중앙행정기관","문화체육관광부","52907","46615","6292","11.893","N",""
"2024","중앙행정기관","여성가족부","28","2","26","92.857","Y",""
"2024","중앙행정기관","농촌진흥청","67265","51676","15589","23.175","Y",""
"2024","중앙행정기관","산림청","24499","22917","1582","6.457","N",""
"2024","중앙행정기관","중소벤처기업부","1783","1184","599","33.595","Y",""
"2024","중앙행정기관","특허청","708","413","295","41.667","Y",""
"2024","중앙행정기관","산업통상자원부","1669","1507","162","9.706","N",""
"2024","중앙행정기관","식품의약품안전처","3763","3151","612","16.264","Y",""
"2024","중앙행정기관","환경부","30696","26297","4399","14.331","Y",""
"2024","중앙행정기관","고용노동부","13458","12967","491","3.648","N",""
"2024","중앙행정기관","해양경찰청","20993","19683","1310","6.24","N",""
"2024","중앙행정기관","농림축산식품부","34012","27668","6344","18.652","Y",""
"2024","중앙행정기관","방송통신위원회","13","13","0","0","N",""
"2024","중앙행정기관","국토교통부","6433","5498","935","14.534","Y",""
"2024","중앙행정기관","소방청","5258","4068","1190","22.632","Y",""
"2024","중앙행정기관","행정중심복합도시건설청","12","1","11","91.667","Y",""
"2024","중앙행정기관","과학기술정보통신부","108490","94675","13815","12.734","N",""
"2024","중앙행정기관","새만금개발청","68","41","27","39.706","Y",""
"2024","중앙행정기관","행정안전부","207527","178243","29284","14.111","Y",""
"2024","중앙행정기관","인사혁신처","2690","2240","450","16.729","Y",""
"2024","중앙행정기관","개인정보보호위원회","18","15","3","16.667","Y",""
"2024","중앙행정기관","질병관리청","4003","4237","-234","-5.846","N",""
"2024","중앙행정기관","재외동포청","0","0","0","0","N",""
"2024","중앙행정기관","국가유산청","14742","13535","1207","8.187","N",""
"2024","지방자치단체","서울특별시 종로구","1881","1444","437","23.232","Y",""
"2024","지방자치단체","서울특별시 중구","6806","4326","2480","36.438","Y",""
"2024","지방자치단체","서울특별시 용산구","5057","4382","675","13.348","Y",""
"2024","지방자치단체","서울특별시 성동구","6258","3888","2370","37.872","Y",""
"2024","지방자치단체","서울특별시 광진구","3308","2670","638","19.287","Y",""
"2024","지방자치단체","서울특별시 동대문구","4420","3367","1053","23.824","Y",""
"2024","지방자치단체","서울특별시 중랑구","3255","2709","546","16.774","Y",""
"2024","지방자치단체","서울특별시 성북구","5692","3816","1876","32.959","Y",""
"2024","지방자치단체","서울특별시 강북구","3644","3073","571","15.67","Y",""
"2024","지방자치단체","서울특별시 도봉구","6299","4700","1599","25.385","Y",""
"2024","지방자치단체","서울특별시 노원구","6882","5164","1718","24.964","Y",""
"2024","지방자치단체","서울특별시 은평구","7739","5655","2084","26.929","Y",""
"2024","지방자치단체","서울특별시 서대문구","4326","3387","939","21.706","Y",""
"2024","지방자치단체","서울특별시 마포구","5369","4129","1240","23.096","Y",""
"2024","지방자치단체","서울특별시 양천구","4434","3848","586","13.216","Y",""
"2024","지방자치단체","서울특별시 강서구","5208","4349","859","16.494","Y",""
"2024","지방자치단체","서울특별시 구로구","7049","5834","1215","17.236","Y",""
"2024","지방자치단체","서울특별시 금천구","3925","3626","299","7.618","N",""
"2024","지방자치단체","서울특별시 영등포구","4615","3595","1020","22.102","Y",""
"2024","지방자치단체","서울특별시 동작구","2395","1948","447","18.664","Y",""
"2024","지방자치단체","서울특별시 관악구","4398","3773","625","14.211","Y",""
"2024","지방자치단체","서울특별시 서초구","6562","5683","879","13.395","Y",""
"2024","지방자치단체","서울특별시 강남구","6473","6085","388","5.994","N",""
"2024","지방자치단체","서울특별시 송파구","8419","6393","2026","24.065","Y",""
"2024","지방자치단체","서울특별시 강동구","11694","10010","1684","14.401","Y",""
"2024","지방자치단체","부산광역시 중구","1170","1107","63","5.385","N",""
"2024","지방자치단체","부산광역시 서구","1052","1167","-115","-10.932","N",""
"2024","지방자치단체","부산광역시 동구","1573","1723","-150","-9.536","N",""
"2024","지방자치단체","부산광역시 영도구","1931","1352","579","29.984","Y",""
"2024","지방자치단체","부산광역시 부산진구","2766","1963","803","29.031","Y",""
